Pitching Data for 453329 for game: gid_2014_08_31_mlb_tbamlb_1/																																																
dateStamp	park_sv_id		ab_tot  ab_ct	pit_id	bat_id	ab_id	des		type	id	sz_top	sz_bot	pfx_xDF	pfx_zDF	mlbpitch_name	zloc	pitcon	stand	strikes	balls	p_throwsgid			pdes			spin	norm_ht		inning		tstart		vystart		ftime		pfx_x		pfx_z		uncorted_pfx_x	uncorted_pfx_z	x0		y0	z0		vx0		vy0		vz0		ax		ay		az		strtspd	px		pz		pxold	pzold	sb
8/31/2014	140831_144837tba	1	1	453329	446386	27	Groundout	X	198	3.45	1.55	-7.033	6.982	FT		0.909	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	225.015	0.0821053	4		0.074383494	-133.2598594	0.300253581	-9.271253491	6.30596691	-9.271253491	6.30596691	-1.164384079	55	6.119031056	5.228227893	-136.7803351	-4.336651718	-17.13999983	31.68899841	-20.52100015	93.37	-0.463863857	2.599040247	-0.358	2.578	0
8/31/2014	140831_144924tba	5	1	453329	459964	28	Double		S	202	3.34	1.58	14.986	-6.39	CU		0.903	L	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		67.0826	0.564773	4		0.087856776	-112.7992243	0.355058942	11.24919685	-6.958891667	11.24919685	-6.958891667	-1.423377778	55	6.093719715	-1.651655407	-115.8528592	3.671652608	14.8719993	23.2739994	-41.37900186	79.04	-0.468281668	2.987099042	-0.286	2.957	0
8/31/2014	140831_144941tba	5	2	453329	459964	28	Double		S	203	3.34	1.58	0.808	4.836	CH		0.897	L	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Swinging Strike		170.653	-0.856818	4		0.083375096	-119.0587841	0.333969851	-2.1655803	4.064813071	-2.1655803	4.064813071	-1.369321896	55	5.96518867	2.960435901	-121.6925392	-3.249565099	-3.236000027	21.13600082	-26.10499979	83.03	-0.351988263	1.730168583	-0.211	1.706	1
8/31/2014	140831_145006tba	5	3	453329	459964	28	Double		B	204	3.34	1.58	-5.944	8.085	FT		0.913	L	2	0	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			216.159	-1.49659	4		0.074458368	-133.1934736	0.299731972	-8.19819141	7.388021067	-8.19819141	7.388021067	-0.938108522	55	6.158926523	8.304314468	-136.5092355	-8.332651561	-15.20900008	29.80899925	-18.47299982	93.42	1.190328734	1.174559102	1.31	1.143	2
8/31/2014	140831_145025tba	5	4	453329	459964	28	Double		B	205	3.34	1.58	-5.069	6.377	FT		0.916	L	2	1	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			218.273	1.00909		4		0.075036416	-132.1992432	0.301667916	-7.37128628	5.708105158	-7.37128628	5.708105158	-0.964504114	55	6.04813568	7.681495484	-135.3947188	-2.00157307	-13.50000044	28.5029995	-21.72500063	92.47	1.058241604	3.360164728	1.179	3.348	12
8/31/2014	140831_145045tba	5	5	453329	459964	28	Double		X	206	3.34	1.58	0.897	5.145	CH		0.883	L	2	2	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, no out"	170.259	-0.0784091	4		0.086971032	-114.1476315	0.34818733	-2.337157098	4.302609306	-2.337157098	4.302609306	-1.161946518	55	5.9984383	1.997221934	-116.6382517	-1.235133635	-3.213000025	19.15999908	-26.26400018	79.54	-0.574253355	2.405181077	-0.426	2.391	22
8/31/2014	140831_145144tba	3	1	453329	446334	29	Groundout	S	210	3.76	1.72	4.416	5.352	FC		0.904	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		140.733	-0.303922	4		0.078211809	-126.903864	0.313482123	1.714633144	4.656278576	1.714633144	4.656278576	-1.338020512	55	5.94415735	3.150534259	-129.7555421	-2.895902908	2.908000027	24.3970005	-24.28199983	88.52	0.287163677	2.44916851	0.425	2.43	0
8/31/2014	140831_145210tba	3	2	453329	446334	29	Groundout	B	211	3.76	1.72	1.028	9.547	FF		0.881	R	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			173.921	0.203922	4		0.074768695	-132.7456339	0.299707939	-1.372164375	8.820440874	-1.372164375	8.820440874	-0.931331666	55	6.054539792	5.168128476	-135.735122	-4.266375019	-2.545999969	26.75400085	-15.81299997	92.66	0.979567112	2.960692272	1.107	2.948	1
8/31/2014	140831_145234tba	3	3	453329	446334	29	Groundout	X	212	3.76	1.72	-0.422	10.83	FF		0.898	R	1	1	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	182.178	-0.17451	4		0.074971151	-132.3332822	0.301174015	-2.815326234	10.06943072	-2.815326234	10.06943072	-1.044298415	55	6.121578257	3.828655798	-135.4751179	-5.754277399	-5.173000003	28.04700012	-13.67700029	92.49	0.096084028	2.57643927	0.216	2.562	11
8/31/2014	140831_151053tba	4	1	453329	425766	35	Groundout	S	269	3.69	1.81	10.84	-8.292	CU		0.904	L	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Called Strike		52.7714	-0.959574	5		0.090069672	-109.9733296	0.364988857	7.012269606	-8.843468645	7.012269606	-8.843468645	-1.475567199	55	6.095669893	0.921419858	-113.1141602	2.38627966	8.773000275	23.35600014	-43.24300027	77.14	0.078913162	1.893777743	0.27	1.848	0
